n,fecha,Casos por fecha de inicio de síntomas,Casos por fecha de toma de muestra,Casos por fecha de emisión de resultados
1,2024-01-07,45,65,13
2,2024-01-08,59,136,101
3,2024-01-09,55,152,144
4,2024-01-10,61,156,180
5,2024-01-11,33,121,155
6,2024-01-12,63,107,113
7,2024-01-13,43,55,19
8,2024-01-14,37,47,18
9,2024-01-15,76,143,150
10,2024-01-16,59,144,155
11,2024-01-17,53,110,149
12,2024-01-18,66,170,195
13,2024-01-19,63,134,121
14,2024-01-20,53,44,20
15,2024-01-21,57,69,25
16,2024-01-22,77,209,128
17,2024-01-23,73,152,186
18,2024-01-24,61,161,152
19,2024-01-25,51,156,209
20,2024-01-26,67,162,122
21,2024-01-27,67,67,40
22,2024-01-28,63,88,36
23,2024-01-29,90,238,170
24,2024-01-30,75,150,253
25,2024-01-31,49,168,185
26,2024-02-01,103,175,198
27,2024-02-02,70,175,164
28,2024-02-03,93,80,20
29,2024-02-04,74,73,24
30,2024-02-05,108,301,260
31,2024-02-06,99,188,252
32,2024-02-07,65,219,228
33,2024-02-08,71,233,223
34,2024-02-09,81,189,158
35,2024-02-10,86,108,19
36,2024-02-11,48,140,56
37,2024-02-12,76,286,524
38,2024-02-13,84,209,260
39,2024-02-14,56,166,189
40,2024-02-15,63,166,194
41,2024-02-16,62,153,162
42,2024-02-17,54,84,23
43,2024-02-18,56,46,24
44,2024-02-19,69,222,181
45,2024-02-20,81,186,188
46,2024-02-21,70,166,239
47,2024-02-22,42,139,172
48,2024-02-23,47,152,193
49,2024-02-24,48,59,13
50,2024-02-25,57,48,13
51,2024-02-26,77,182,250
52,2024-02-27,48,155,211
53,2024-02-28,42,139,181
54,2024-02-29,34,110,168
55,2024-03-01,49,118,151
56,2024-03-02,34,44,16
57,2024-03-03,42,50,3
58,2024-03-04,54,117,170
59,2024-03-05,52,118,134
60,2024-03-06,35,117,138
61,2024-03-07,29,95,116
62,2024-03-08,28,89,85
63,2024-03-09,35,43,16
64,2024-03-10,34,31,7
65,2024-03-11,48,115,135
66,2024-03-12,33,82,101
67,2024-03-13,25,77,156
68,2024-03-14,23,76,95
69,2024-03-15,27,72,115
70,2024-03-16,19,31,11
71,2024-03-17,16,30,14
72,2024-03-18,27,71,96
73,2024-03-19,19,51,88
74,2024-03-20,23,42,96
75,2024-03-21,16,50,74
76,2024-03-22,9,36,66
77,2024-03-23,4,11,7
78,2024-03-24,5,16,5
79,2024-03-25,9,31,62
80,2024-03-26,11,19,81
81,2024-03-27,4,16,5
82,2024-03-28,11,8,2
83,2024-03-29,3,6,3
84,2024-03-30,5,9,4
85,2024-03-31,6,14,10
86,2024-04-01,10,16,76
87,2024-04-02,3,16,76
88,2024-04-03,2,14,50
89,2024-04-04,2,9,88
90,2024-04-05,1,5,63
91,2024-04-06,0,2,2
92,2024-04-07,0,0,1
